Classifications,Permanent Call Number,Material Type,Author,ISBN,ISSN,Title (Complete),Publication Place,Publisher,Publication Date,Barcode,Replacement cost,
Architecture,NA2920 L3 1968,Book,"Lapalus, Étienne.",,,"Le Fronton sculpté en Grèce, des origines à la fin du IVe siècle, étude sur les origines, le̓́volution, la technique et les thèmes du décor tympanal.","Paris,",E de Boccard,1968,39097001199828,,39097001199828
Architecture,NA2965 .K3,Book,"Kähler, Heinz, 1905-",,,Das griechische Metopenbild.,[München],Münchner Verlag,[1949],39097001199836,,39097001199836
Architecture,NA3010 .C5,Book,"Chamberlain, Samuel, 1895-",,,New England doorways; photographs and comment by Samuel Chamberlain.,"New York,",Hastings house,[c1939],39097001199844,,39097001199844
Architecture,NA3010 .N6,Book,"Northend, Mary Harrod, 1850-",,,"Historic doorways of Old Salem, by Marry Harrod Northend, illustrated from photographs by the author.","Boston,",Houghton Mifflin Company,1926,39097001199851,,39097001199851
Architecture,NA3320 .G3,Book,"García Ramos, Domingo, 1911-",,,Arquitectura y artes decorativas.,"México,",Escuela Nacional de Arquitectura,1966,39097001199869,,39097001199869
Architecture,NA3390 .H3,Book,"Harvey, John Hooper",0070269734; 0070269742; 9780070269736; 9780070269743,,The master builders; architecture in the Middle Ages [by] John Harvey.,"New York,",McGraw-Hill,[c1971],39097001199893,,39097001199893
Architecture,NA3390 .M63,Book,"Möbius, Friedrich, 1928-",3850630358; 9783850630351,,"Bauornament im Mittelalter : Symbol und Bedeutung / Friedrich und Helga Möbius, mit Aufnahmen von Klaus G. Beyer.",Wien :,Edition Tusch,c1974.,39097001199919,,39097001199919
Architecture,NA2815 .F87,Book,"De Fusco, Renato, 1929-",,,Il codice dell'architettura. Antologia di trattatisti.,"Napoli,",Edizioni scientifiche italiane,1968,39097001202135,,39097001202135
Architecture,NA6130 .C88,Book,"Curl, James Stevens, 1937-",,,"A celebration of death : an introduction to some of the buildings, monuments, and settings of funerary architecture in the Western European tradition / James Stevens Curl.",New York :,Scribner,1980,39097001225961,,39097001225961
Architecture,NA6830 .S63 1980,Book,"Pildas, Ave",0517538571; 9780517538579,,Movie palaces / by Ave Pildas ; text by Lucinda Smith ; foreword by King Vidor ; photos. by Ave Pildas.,New York :,C N Potter distributed by Crown Publishers,c1980.,39097001226068,,39097001226068
Visual arts,N6921.F3 B5 1979,Book,Biennale d'arte antica Bologna) 1979 : (10th :,,,"L'età neoclassica a Faenza, 1780-1820 : Faenza, Palazzo Milzetti, 9 settembre-26 novembre 1979 : catalogo critico / a cura di Anna Ottani Cavina ... [et al.] ; introduzione di Andrea Emiliani.",Bologna :,Alfa,1979,39097001230029,,39097001230029
Visual arts,N6921.P35 B5 1979,Book,Biennale d'arte antica Bologna) 1979 : (10th :,,,"L'arte a Parma dai Farnese ai Borbone : Parma, Palazzo della Pilotta, 22 settembre-22 dicembre 1979.",Bologna :,Alfa,1979,39097001230045,,39097001230045
Architecture,NA712 .D52,Book,"Diamonstein-Spielvogel, Barbaralee.",0847803295; 9780847803293,,American architecture now / Barbaralee Diamonstein with I.M. Pei ... [et al.] ; introd. by Paul Goldberger.,New York :,Rizzoli,c1980.,39097001241984,,39097001241984
Sculpture,NB198 .B86,Book,"Busch, Julia M., 1940-",0879820071; 9780879820077,,A decade of sculpture: the 1960s [by] Julia M. Busch.,"Philadelphia,",Art Alliance Press,[1974],39097001244566,,39097001244566
Visual arts,N6847.5.R4 W44,Book,"Weisberg, Gabriel P.",0910386609; 9780910386609,,"The Realist tradition : French painting and drawing, 1830-1900 / Gabriel P. Weisberg.",Cleveland :,Cleveland Museum of Art/in cooperation with Indiana University Press,[1980],39097001248120,,39097001248120
Visual arts,N8798 .R42,Book,"Redstone, Louis G.",0070513457; 9780070513457,,Public art : new directions / Louis G. Redstone with Ruth R. Redstone.,New York :,McGraw-Hill,c1981.,39097001248260,,39097001248260
Architecture,NA737.B87 A22,Book,"Bush-Brown, Harold.",0823070670; 9780823070671,,Beaux arts to Bauhaus and beyond : an architect's perspective / by Harold Bush-Brown.,New York :,Whitney Library of Design,1976,39097001254474,,39097001254474
Architecture,NA2542.4 .N6713,Book,"Norberg-Schulz, Christian",0847802876; 9780847802876,,Genius loci : towards a phenomenology of architecture / Christian Norberg-Schulz.,New York :,Rizzoli,"1980, c1979.",39097001254490,,39097001254490
Visual arts,N7483.B46 S42,Book,"Secrest, Meryle",0030184118; 9780030184116,,Being Bernard Berenson : a biography / Meryle Secrest.,New York :,Holt Rinehart and Winston,c1979.,39097001256453,,39097001256453
Architecture,NA2793 .C3 1976,Book,"Cantacuzino, Sherban",0823073904; 9780823073900,,New uses for old buildings.,"New York,",Whitney Library of Design,"1976, c1975.",39097001256545,,39097001256545
Architecture,NA105 .M37,Book,"Markowitz, Arnold L.",0810314606; 9780810314603,,Historic preservation : a guide to information sources / Arnold L. Markowitz.,Detroit :,Gale Research Co,c1980.,39097001256560,,39097001256560
Visual arts,N7352 .M3,Book,,,,"Ma, space-time in Japan.",[New York :,Cooper-Hewitt Museum,1979?],39097001256578,,39097001256578
Visual arts,N6512 .P52,Book,"Pincus-Witten, Robert",0915570076; 9780915570072,,Postminimalism / Robert Pincus-Witten.,New York :,Out of London Press,1977,39097001256750,,39097001256750
Architecture,NA109.E9 A72 1975,Book,,0823070441; 9780823070442,,Architectural conservation in Europe / edited by Sherban Cantacuzino ; designed by Michael Reid.,[New York] :,Whitney Library of Design,1975,39097001256768,,39097001256768
Architecture,NA2500 .N6 1968,Book,"Norberg-Schulz, Christian",,,Intentions in architecture / by Christian Norberg-Schulz.,"Cambridge, Mass. :",MIT Press,"1968, 1979 printing.",39097001257089,,39097001257089
Architecture,NA737.L34 A2 1977,Book,"Latrobe, Benjamin Henry, 1764-1820",0300021984; 9780300021981,,"The Virginia journals of Benjamin Henry Latrobe, 1795-1798 / Edward C. Carter II, editor, Angeline Polites, associate editor ; Lee W. Formwalt and John C. Van Horne, editorial assistants.",New Haven :,Published for the Maryland Historical Society by Yale University Press,1977-80.,39097001260067,,39097001260067
Visual arts,N7301 .K7,Book,"Kramrisch, Stella, 1898-1993.",0876330391; 9780876330395,,Manifestations of Shiva / Stella Kramrisch.,Philadelphia :,Philadelphia Museum of Art,c1981.,39097001265629,,39097001265629
Architecture,NA106 .H67,Book,"Hosmer, Charles Bridgham, 1932-",0813907128; 9780813907123,,"Preservation comes of age : from Williamsburg to the National Trust, 1926-1949 / Charles B. Hosmer, Jr.",Charlottesville :,Published for the Preservation Press National Trust for Historic Preservation in the United States by the University Press of Virginia,1981,39097001268649,,39097001268649
Architecture,NA1121.F7 A6 1975,Book,"Anthony, Edgar Waterman, 1890-1947.",0878170553; 9780878170555,,Early Florentine architecture and decoration / Edgar W. Anthony.,New York :,Hacker Art Books,1975,39097001271494,,39097001271494
Visual arts,N8195.3.K7 I53,Book,"Banerjee, P. 1920-2007. (Priyatosh),",,,The life of Krishna in Indian art / P. Banerjee.,New Delhi :,National Museum sole distributors Publication Division Patiala House,1978,39097001287680,,39097001287680
Visual arts,N7277 .A75 1981,Book,,0814316867; 9780814316863; 0814316875; 9780814316870,,"Artists of Israel, 1920-1980 : the Jewish Museum/New York, February 19-May 17, 1981 / exhibition curator, Susan Tumarkin Goodman ; essays by Moshe Barasch, Yona Fischer, and Ygal Zalmona.",Detroit :,Published by Wayne State University for the Jewish Museum New York,1981,39097001290254,,39097001290254
Architecture,NA737.S9 M46,Book,"Menocal, Narciso G.",0299081508; 9780299081508,,Architecture as nature : the transcendentalist idea of Louis Sullivan / Narciso G. Menocal.,Madison :,University of Wisconsin Press,1981,39097001300350,,39097001300350
